year,month,temperature_C,district
2000,1,24.46,Tiruvallur
2000,2,26.55,Tiruvallur
2000,3,27.51,Tiruvallur
2000,4,30.88,Tiruvallur
2000,5,31.56,Tiruvallur
2000,6,30.18,Tiruvallur
2000,7,29.41,Tiruvallur
2000,8,28.41,Tiruvallur
2000,9,28.41,Tiruvallur
2000,10,26.77,Tiruvallur
2000,11,25.82,Tiruvallur
2000,12,23.91,Tiruvallur
2000,13,27.82,Tiruvallur
2001,1,24.4,Tiruvallur
2001,2,26.33,Tiruvallur
2001,3,29.67,Tiruvallur
2001,4,29.52,Tiruvallur
2001,5,32.23,Tiruvallur
2001,6,30.85,Tiruvallur
2001,7,29.92,Tiruvallur
2001,8,29.6,Tiruvallur
2001,9,28.44,Tiruvallur
2001,10,27.0,Tiruvallur
2001,11,25.72,Tiruvallur
2001,12,24.08,Tiruvallur
2001,13,28.16,Tiruvallur
2002,1,24.05,Tiruvallur
2002,2,24.82,Tiruvallur
2002,3,27.85,Tiruvallur
2002,4,31.01,Tiruvallur
2002,5,32.39,Tiruvallur
2002,6,30.84,Tiruvallur
2002,7,31.54,Tiruvallur
2002,8,29.51,Tiruvallur
2002,9,29.25,Tiruvallur
2002,10,27.09,Tiruvallur
2002,11,25.27,Tiruvallur
2002,12,23.69,Tiruvallur
2002,13,28.13,Tiruvallur
2003,1,24.16,Tiruvallur
2003,2,26.69,Tiruvallur
2003,3,28.64,Tiruvallur
2003,4,31.02,Tiruvallur
2003,5,33.04,Tiruvallur
2003,6,31.68,Tiruvallur
2003,7,28.64,Tiruvallur
2003,8,28.28,Tiruvallur
2003,9,28.8,Tiruvallur
2003,10,27.4,Tiruvallur
2003,11,25.7,Tiruvallur
2003,12,24.64,Tiruvallur
2003,13,28.22,Tiruvallur
2004,1,24.42,Tiruvallur
2004,2,25.72,Tiruvallur
2004,3,28.61,Tiruvallur
2004,4,31.07,Tiruvallur
2004,5,28.74,Tiruvallur
2004,6,29.0,Tiruvallur
2004,7,28.47,Tiruvallur
2004,8,29.79,Tiruvallur
2004,9,27.83,Tiruvallur
2004,10,27.02,Tiruvallur
2004,11,25.39,Tiruvallur
2004,12,23.8,Tiruvallur
2004,13,27.49,Tiruvallur
2005,1,24.67,Tiruvallur
2005,2,26.25,Tiruvallur
2005,3,29.13,Tiruvallur
2005,4,28.72,Tiruvallur
2005,5,30.48,Tiruvallur
2005,6,30.96,Tiruvallur
2005,7,30.27,Tiruvallur
2005,8,29.68,Tiruvallur
2005,9,28.73,Tiruvallur
2005,10,27.03,Tiruvallur
2005,11,24.75,Tiruvallur
2005,12,24.06,Tiruvallur
2005,13,27.9,Tiruvallur
2006,1,23.47,Tiruvallur
2006,2,24.56,Tiruvallur
2006,3,28.16,Tiruvallur
2006,4,30.8,Tiruvallur
2006,5,31.26,Tiruvallur
2006,6,30.04,Tiruvallur
2006,7,30.37,Tiruvallur
2006,8,29.42,Tiruvallur
2006,9,28.34,Tiruvallur
2006,10,27.39,Tiruvallur
2006,11,25.51,Tiruvallur
2006,12,24.26,Tiruvallur
2006,13,27.82,Tiruvallur
2007,1,24.0,Tiruvallur
2007,2,25.52,Tiruvallur
2007,3,28.34,Tiruvallur
2007,4,30.25,Tiruvallur
